d	A*(h1) nodes	A*(h1) time	A*(h2) nodes	A*(h2) time
24	6634	109	4231	67
23	22838	3443	4902	50
23	6262	81	2312	13
18	4060	36	1091	3
22	15608	1380	3606	26
28	31907	8041	4900	46
25	32060	8147	15659	1101
28	78685	45058	18163	2165
16	2342	10	704	1
19	4733	44	1184	3
22	6195	75	1877	7
25	26379	5255	6230	76
18	4538	41	1759	6
24	30239	7373	7683	110
19	5965	71	1324	4
27	22115	3349	12435	546
21	18779	2363	4859	43
15	1308	3	307	0
23	22483	3678	4710	43
12	386	0	150	0
20	10248	306	1859	7
25	19655	2644	3613	26
25	42831	14852	5246	52
22	19090	2295	7184	93
22	13221	757	3545	24
24	11426	424	2895	16
23	18564	2094	4644	41
27	50650	19010	7344	104
25	9265	162	3553	24
19	10348	238	1281	3
20	3608	25	1207	3
18	1122	2	715	1
30	36767	10389	12252	582
23	7573	106	2691	13
17	3937	29	1078	2
32	95363	62513	16825	1458
20	5770	62	1114	2
33	61986	30190	12237	579
20	10183	277	1481	4
22	25798	4640	11284	317
29	62069	29028	14072	884
26	24395	3996	6393	76
18	1806	6	726	1
25	30437	6852	7591	104
23	24169	4115	4676	41
32	117928	89988	46738	17603
22	28310	5571	6662	83
17	3137	19	729	1
23	19648	2603	5921	66
21	1710	6	977	2
25	32768	8431	7069	93
16	813	1	295	0
20	6071	68	2149	9
28	26070	4903	8134	119
26	6969	90	3326	21
21	4887	45	2025	8
19	5031	48	817	1
19	8962	160	1150	2
19	9335	185	2792	15
24	5798	64	1357	3
26	64639	31366	13043	609
15	1174	3	344	0
28	77791	45001	12114	583
21	12046	551	5757	61
20	1042	2	691	1
14	352	0	183	0
25	58978	27524	5607	60
28	34946	8920	7793	113
22	17223	1708	7020	91
30	56373	24948	20587	2419
20	11920	531	3835	28
30	83526	49737	14108	883
23	26827	5291	8998	168
24	16952	1644	5899	65
24	40093	12163	8592	152
22	9259	172	3852	29
25	21461	3142	6121	69
23	18155	2023	4212	34
19	12182	559	3649	25
22	31631	7757	3741	27
24	11729	499	2601	13
29	40889	12023	8623	147
26	28769	6365	5934	66
17	3722	26	1254	3
18	1612	5	599	1
27	38307	10883	14389	972
16	1951	7	605	1
18	2151	9	873	1
23	12018	476	2558	12
23	37384	10329	7920	118
23	18581	2198	7225	96
18	2242	10	838	1
16	5259	52	815	1
17	3621	25	1118	2
22	13857	828	4675	41
20	11386	330	7650	110
19	13071	748	2542	12
25	33049	8629	6473	78
20	12641	569	1552	4
26	84795	49772	32584	8388
